quad_no,Row,1,2,3,4,5,6,7,8,9,10
11,50,Festovin,Festovin,Festovin,Festovin,Nardstri,Poteerec,Poteerec,Poteerec,Poteerec,Poteerec
11,60,Nardstri,Festovin,Festovin,Carenigr,Carenigr,Poteerec,Carenigr,Poteerec,Carenigr,Carenigr
11,70,Nardstri,Nardstri,Nardstri,Anthodor,Nardstri,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
11,80,Nardstri,Nardstri,Festovin,Carenigr,Anthodor,Carenigr,Carenigr,Anthodor,Carenigr,Carenigr
11,90,Nardstri,Nardstri,Poteerec,Festovin,Festovin,Festovin,Festovin,Festovin,Carenigr,Carenigr
11,100,Nardstri,Festovin,Galisaxa,Festovin,Poteerec,Poteerec,Poteerec,Poteerec,Carenigr,Carenigr
,,,,,,,,,,,
12,10,Plagundu,Plagundu,Plagundu,Plagundu,Plagundu,Plagundu,Plagundu,Plagundu,Plagundu,Sphapalu
12,20,Sphafall,Sphapalu,Plagundu,Plagundu,Plagundu,Plagundu,Plagundu,Plagundu,Plagundu,Sphapalu
12,30,Sphafall,Sphafall,Sphapalu,Nardstri,Nardstri,Plagundu,Plagundu,Plagundu,Plagundu,Plagundu
12,40,Sphafall,Plagundu,Sphapalu,Nardstri,Plagundu,Plagundu,Nardstri,Plagundu,Plagundu,Plagundu
12,50,Sphafall,Sphapalu,Sphapalu,Polycomm,Nardstri,Nardstri,Nardstri,Nardstri,Plagundu,Plagundu
12,60,Carenigr,Plagundu,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Nardstri,Sphapalu,Plagundu,Plagundu
12,70,Callvulg,Callvulg,Callvulg,Eriovagi,Eriovagi,Plagundu,Plagundu,Eriovagi,Poteerec,Poteerec
12,80,Descflex,Poteerec,Callvulg,Callvulg,Eriovagi,Eriovagi,Eriovagi,Callvulg,Callvulg,Callvulg
12,90,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Eriovagi,Eriovagi,Callvulg,Sphapalu,Sphapalu
12,100,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg
,,,,,,,,,,,
13,10,Nardstri,Junccong,Poteerec,Junccong,Junccong,Nardstri,Agrocapi,Agrocapi,Poteerec,Junccong
13,20,Junccong,Nardstri,Nardstri,Nardstri,Junccong,Poteerec,Agrocapi,Agrocapi,Holclana,Nardstri
13,30,Poteerec,Nardstri,Nardstri,Junccong,Descflex,DEAD,Agrocapi,Agrocapi,Nardstri,Nardstri
13,40,Nardstri,Poteerec,Poteerec,Descflex,Junccong,Poteerec,DEAD,Carenigr,Agrocapi,Anthodor
13,50,Nardstri,Poteerec,Nardstri,Poteerec,Poteerec,Nardstri,Nardstri,Carenigr,Nardstri,Nardstri
13,60,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Holclana
13,70,Junccong,Poteerec,Nardstri,Nardstri,Nardstri,Agrocapi,Nardstri,Nardstri,Nardstri,Nardstri
13,80,Poteerec,Junccong,Poteerec,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri
13,90,Nardstri,Poteerec,Poteerec,Nardstri,Agrocapi,Nardstri,Junccong,Nardstri,Nardstri,Nardstri
13,100,Junccong,Poteerec,Nardstri,Nardstri,Agrocapi,Agrocapi,Nardstri,Nardstri,Nardstri,Nardstri
,,,,,,,,,,,
14,10,Plagundu,Eriovagi,Plagundu,Eriovagi,Eriovagi,Plagundu,Plagundu,Plagundu,Plagundu,Plagundu
14,20,Plagundu,Eriovagi,Plagundu,Plagundu,Eriovagi,Plagundu,Plagundu,Eriovagi,Eriovagi,Plagundu
14,30,Eriovagi,Plagundu,Plagundu,Eriovagi,Plagundu,Plagundu,Plagundu,Eriovagi,Plagundu,Eriovagi
14,40,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Plagundu,Eriovagi,Eriovagi,Plagundu,Eriovagi,Descflex
14,50,Eriovagi,Plagundu,Plagundu,Plagundu,Eriovagi,Eriovagi,Eriovagi,Eriovagi,DEAD,Eriovagi
14,60,Plagundu,Plagundu,Plagundu,DEAD,Polycomm,Polycomm,Plagundu,Plagundu,Eriovagi,Eriovagi
14,70,Plagundu,Plagundu,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Plagundu,Plagundu,Plagundu,Descflex
14,80,Plagundu,Plagundu,Eriovagi,Eriovagi,Plagundu,Eriovagi,Eriovagi,Plagundu,Plagundu,Plagundu
14,90,Eriovagi,Plagundu,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Plagundu,Plagundu,Plagundu,Plagundu
14,100,Eriovagi,Eriovagi,Plagundu,Eriovagi,Eriovagi,Eriovagi,Eriovagi,DEAD,Plagundu,Plagundu
,,,,,,,,,,,
15,10,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg
15,20,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg
15,30,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg
