quad_no,Row,10,20,30,40,50,60,70,80,90,100
8,90,Molicaer,Sphapalu,Molicaer,Descflex,Sphapalu,Molicaer,Erictetr,Erictetr,Erictetr,Erictetr
8,100,Vaccmyrt,Triccesp,Molicaer,Vaccmyrt,Sphapalu,Descflex,Erictetr,Erictetr,Erictetr,Erictetr
,,,,,,,,,,,
9,10,Carenigr,Carenigr,Carenigr,Eriovagi,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Molicaer
9,20,Molicaer,Molicaer,Descflex,Molicaer,Callvulg,Callvulg,Eriovagi,Eriovagi,Eriovagi,Eriovagi
9,30,Callvulg,Molicaer,Molicaer,Molicaer,DEAD,Callvulg,Eriovagi,Eriovagi,Callvulg,Molicaer
9,40,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,Eriovagi,Molicaer,Callvulg,Molicaer,Molicaer
9,50,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer
9,60,Callvulg,Molicaer,Molicaer,Callvulg,Molicaer,Molicaer,Molicaer,Callvulg,Molicaer,Molicaer
9,70,DEAD,Callvulg,Molicaer,Molicaer,Molicaer,Molicaer,Callvulg,Callvulg,Molicaer,Molicaer
9,80,Descflex,Callvulg,Molicaer,Callvulg,Callvulg,Molicaer,Eriovagi,Descflex,Descflex,Descflex
9,90,Callvulg,Descflex,Callvulg,Eriovagi,Eriovagi,Molicaer,Molicaer,Molicaer,Descflex,Vaccmyrt
9,100,Molicaer,Molicaer,Callvulg,Molicaer,Eriovagi,Molicaer,Molicaer,Molicaer,Molicaer,Vaccmyrt
,,,,,,,,,,,
10,10,Anthodor,Festovin,Poteerec,Galisaxa,Agrocapi,Anthodor,Descflex,Galisaxa,Galisaxa,Galisaxa
10,20,Anthodor,Galisaxa,Descflex,Poteerec,Anthodor,Agrocapi,Anthodor,Galisaxa,Descflex,Nardstri
10,30,Poteerec,Anthodor,Poteerec,Galisaxa,Galisaxa,Nardstri,Nardstri,Anthodor,Poteerec,Galisaxa
10,40,Galisaxa,Poteerec,Poteerec,Anthodor,Nardstri,Galisaxa,Festovin,Nardstri,Agrocapi,
10,50,Nardstri,DEAD,Agrocapi,Poteerec,Poteerec,Anthodor,Festovin,Agrocapi,Anthodor,Galisaxa
10,60,Nardstri,Anthodor,Galisaxa,Poteerec,Descflex,Galisaxa,Galisaxa,Descflex,Anthodor,Galisaxa
10,70,Galisaxa,Galisaxa,Descflex,Descflex,Poteerec,Galisaxa,Galisaxa,Descflex,Anthodor,Galisaxa
10,80,Poteerec,Poteerec,Galisaxa,Anthodor,Anthodor,Nardstri,Galisaxa,Galisaxa,Agrocapi,Galisaxa
10,90,Poteerec,Anthodor,Nardstri,Anthodor,Agrocapi,Galisaxa,Galisaxa,Anthodor,Anthodor,Agrocapi
10,100,Descflex,Festovin,Nardstri,Anthodor,Anthodor,Anthodor,Anthodor,Festovin,Agrocapi,Agrocapi
,,,,,,,,,,,
11,10,Sphafall,Sphafall,Eriovagi,Polycomm,Anthodor,Poteerec,Festovin,Eriovagi,Sphapalu,Plagundu
11,20,Plagundu,Anthodor,Sphapalu,Nardstri,Sphapalu,Sphapalu,Poteerec,Poteerec,Agrocapi,Plagundu
11,30,Erioangu,Plagundu,Nardstri,Poteerec,Plagundu,Sphapalu,Nardstri,Junccong,Poteerec,Sphapalu
11,40,Plagundu,Sphafall,Plagundu,Nardstri,Polycomm,Plagundu,Plagundu,Plagundu,Poteerec,Junccong
11,50,Plagundu,Sphafall,Plagundu,Nardstri,Polycomm,Plagundu,Plagundu,Plagundu,Poteerec,Junccong
11,60,Sphafall,Sphafall,Erioangu,Plagundu,Plagundu,Plagundu,Plagundu,Nardstri,Poteerec,Junccong
11,70,Descflex,Poteerec,Poteerec,Plagundu,Plagundu,Eriovagi,Eriovagi,Sphapalu,Plagundu,Plagundu
11,80,Callvulg,Callvulg,Poteerec,Poteerec,Plagundu,Plagundu,Plagundu,Eriovagi,Callvulg,Callvulg
11,90,Descflex,Eriovagi,Poteerec,DEAD,Descflex,Eriovagi,Callvulg,Eriovagi,Callvulg,Callvulg
11,100,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Vaccoxyc,Eriovagi,Sphapalu,Sphapalu,Sphapalu
,,,,,,,,,,,
12,10,Junccong,Nardstri,Nardstri,Nardstri,Nardstri,Poteerec,Nardstri,Holclana,Junccong,Nardstri
12,20,Nardstri,Poteerec,DEAD,Junccong,Nardstri,Nardstri,Nardstri,Holclana,Anthodor,Junccong
12,30,Agrocapi,Poteerec,Poteerec,DEAD,Junccong,Festovin,Carenigr,Nardstri,Agrocapi,Anthodor
12,40,Callvulg,Nardstri,Nardstri,DEAD,Poteerec,Holclana,Agrocapi,Nardstri,Galisaxa,Nardstri
12,50,Poteerec,Carenigr,Poteerec,DEAD,Agrocapi,Anthodor,DEAD,Nardstri,Poteerec,Agrocapi
12,60,Poteerec,Poteerec,Anthodor,Poteerec,Poteerec,Anthodor,Holclana,Poteerec,Poteerec,Nardstri
12,70,Poteerec,Nardstri,Poteerec,Agrocapi,Poteerec,Anthodor,Agrocapi,Anthodor,Anthodor,Holclana
12,80,Junccong,Carenigr,Nardstri,Callvulg,Juncarti,Agrocapi,Junccong,Holclana,Anthodor,Anthodor
12,90,Poteerec,Carenigr,Nardstri,Agrocapi,Nardstri,Agrocapi,Anthodor,Junccong,Agrocapi,Agrocapi
12,100,Poteerec,Junccong,Poteerec,Anthodor,Anthodor,Anthodor,Anthodor,Anthodor,Holclana,Anthodor
,,,,,,,,,,,
13,10,Eriovagi,Plagundu,Eriovagi,Plagundu,Plagundu,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Descflex
13,20,Erioangu,Plagundu,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Plagundu,Plagundu,Eriovagi
13,30,Agrocapi,Poteerec,DEAD,Junccong,Nardstri,Nardstri,Nardstri,Holclana,Anthodor,Junccong
13,40,Callvulg,Nardstri,Nardstri,DEAD,Poteerec,Holclana,Agrocapi,Nardstri,Galisaxa,Nardstri
13,50,Poteerec,Carenigr,Poteerec,DEAD,Agrocapi,Anthodor,DEAD,Nardstri,Nardstri,Agrocapi
13,60,Poteerec,Poteerec,Anthodor,Poteerec,Poteerec,Anthodor,Holclana,Poteerec,Poteerec,Nardstri
13,70,Poteerec,Nardstri,Poteerec,Agrocapi,Poteerec,Anthodor,Agrocapi,Anthodor,Anthodor,Nardstri
13,80,Junccong,Poteerec,Nardstri,Galisaxa,Junccong,Agrocapi,Junccong,Holclana,Anthodor,Anthodor
13,90,Poteerec,Carenigr,Nardstri,Agrocapi,Nardstri,Agrocapi,Anthodor,Junccong,Agrocapi,Agrocapi
13,100,Poteerec,Junccong,Poteerec,Anthodor,Anthodor,Anthodor,Anthodor,Anthodor,Holclana,Anthodor
,,,,,,,,,,,
14,10,Eriovagi,Plagundu,Eriovagi,Plagundu,Plagundu,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Descflex
14,20,Eriovagi,Plagundu,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Plagundu,Plagundu,Eriovagi
14,30,Plagundu,Eriovagi,Eriovagi,Plagundu,Eriovagi,Eriovagi,Eriovagi,Plagundu,Eriovagi,Descflex
14,40,Sphafall,Plagundu,Plagundu,Plagundu,Eriovagi,Plagundu,Plagundu,Eriovagi,Plagundu,Eriovagi
14,50,Plagundu,Eriovagi,Eriovagi,Eriovagi,Plagundu,Plagundu,Polycomm,Sphafall,Plagundu,DEAD
14,60,Sphafall,Eriovagi,DEAD,Plagundu,Sphafall,Sphafall,Polycomm,DEAD,Descflex,Descflex
14,70,Eriovagi,Eriovagi,Plagundu,Plagundu,Sphafall,Polycomm,Polycomm,Descflex,Descflex,Plagundu
14,80,Eriovagi,Eriovagi,Eriovagi,Plagundu,Eriovagi,Plagundu,Polycomm,Descflex,Eriovagi,Sphafall
14,90,Plagundu,Eriovagi,Plagundu,Plagundu,Eriovagi,Plagundu,Eriovagi,Eriovagi,Eriovagi,Descflex
14,100,Plagundu,Plagundu,Eriovagi,Plagundu,Plagundu,Plagundu,Plagundu,Plagundu,Eriovagi,Eriovagi
,,,,,,,,,,,
15,10,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
15,20,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
15,30,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
15,40,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
15,50,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
15,60,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
15,70,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Callvulg,Carenigr,Carenigr,Carenigr,Carenigr
15,80,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
15,90,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
15,100,Carenigr,Carenigr,Descflex,Descflex,Carenigr,Descflex,Carenigr,Carenigr,Descflex,Carenigr
,,,,,,,,,,,
16,10,Descflex,Poteerec,Carenigr,Eriovagi,Festovin,Poteerec,Eriovagi,Carenigr,Galisaxa,Galisaxa
16,20,Eriovagi,Molicaer,Poteerec,Carenigr,Descflex,Poteerec,Carenigr,Carenigr,Descflex,Galisaxa
16,30,Descflex,Molicaer,Poteerec,Carenigr,Polycomm,Poteerec,Poteerec,Carenigr,Carenigr,Festovin
16,40,Molicaer,Carenigr,Descflex,Festovin,Carenigr,Galisaxa,Descflex,Carenigr,Galisaxa,Carenigr
16,50,Festovin,Festovin,Poteerec,Carenigr,Anthodor,Carenigr,Poteerec,Carenigr,Polycomm,Galisaxa
16,60,Festovin,Poteerec,Anthodor,Anthodor,Festovin,Anthodor,Carenigr,Carenigr,Carenigr,Polycomm
16,70,Carenigr,Festovin,Anthodor,Poteerec,Anthodor,Descflex,Anthodor,Carenigr,Poteerec,Poteerec
16,80,Festovin,Festovin,Carenigr,Carenigr,Anthodor,Poteerec,Anthodor,Descflex,Poteerec,Carenigr
16,90,Carenigr,Descflex,Poteerec,Poteerec,Festovin,Carenigr,Anthodor,Descflex,Carenigr,Carenigr
16,100,Galisaxa,Galisaxa,Galisaxa,Poteerec,Poteerec,Festovin,Galisaxa,Descflex,Festovin,Descflex
,,,,,,,,,,,
17,10,Callvulg,Carenigr,Carenigr,Eriovagi,Callvulg,Callvulg,Callvulg,Eriovagi,Eriovagi,Descflex
17,20,Carenigr,Triccesp,Descflex,Descflex,Callvulg,Carenigr,Callvulg,Callvulg,Carenigr,Carenigr
17,30,Carenigr,Eriovagi,Carenigr,Carenigr,Carenigr,Carenigr,Eriovagi,Descflex,Callvulg,Carenigr
17,40,Eriovagi,Eriovagi,Erioangu,DEAD,Eriovagi,Carenigr,Callvulg,Callvulg,Galisaxa,Juncsqua
17,50,Carenigr,Callvulg,Carenigr,DEAD,Descflex,Carenigr,Descflex,Eriovagi,Callvulg,Callvulg
17,60,Descflex,Descflex,Callvulg,Carenigr,Carenigr,Callvulg,Callvulg,Callvulg,Carenigr,Juncsqua
17,70,Erioangu,Descflex,Vaccmyrt,Carenigr,Carenigr,Carenigr,Eriovagi,Callvulg,Vaccmyrt,Carenigr
17,80,Callvulg,Callvulg,Callvulg,Vaccmyrt,Callvulg,Callvulg,Callvulg,Carenigr,Callvulg,Carenigr
17,90,Descflex,Vaccmyrt,Eriovagi,Descflex,Eriovagi,Eriovagi,Callvulg,Carenigr,Descflex,Vaccmyrt
17,100,Callvulg,Eriovagi,Eriovagi,Vaccmyrt,Callvulg,Callvulg,Carenigr,Carenigr,Carenigr,Triccesp
,,,,,,,,,,,
18,10,Ceraarve,Poteerec,Sphafall,Rumeacet,Rumeacet,Anthodor,Ceraarve,Ceraarve,Ceraarve,Poaprat
18,20,Poaprat,Sphafall,Poaannu,Sphafall,Rumeacet,Ceraarve,Ceraarve,Sphafall,Poaprat,Poaprat
18,30,Sphafall,Sphafall,Sphafall,Agrocapi,Sphafall,Rumeacet,Sphafall,Rumeacet,Sphafall,Agrocapi
18,40,Sphafall,Sphafall,Sphafall,Agrocapi,Sphafall,Poaprat,Poaprat,Poaprat,Poaprat,Poaprat
18,50,Agrocapi,Sphafall,Agrocapi,Festovin,Agrocapi,Agrocapi,DEAD,Sphafall,Poaprat,Poaprat
18,60,Poaprat,Rumeacet,Ceraarve,DEAD,Rumeacet,DEAD,DEAD,Agrocapi,Poaprat,Poaprat
18,70,Poaprat,Agrocapi,Poaprat,Poaprat,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Poaprat
18,80,Ceraarve,Poaprat,Agrocapi,Poaprat,Ceraarve,Poaprat,Agrocapi,Ceraarve,Ceraarve,Ceraarve
18,90,Rumeacet,Rumeacet,Poaprat,Poaprat,Rumeacet,Ceraarve,Agrocapi,Ceraarve,Ceraarve,Poaprat
18,100,Poaprat,Rumeacet,Ceraarve,Agrocapi,Ceraarve,Poaprat,Poaprat,Poaprat,Poaprat,Poaprat
,,,,,,,,,,,
19,10,Rumeacet,Agrocapi,Rumeacet,Agrocapi,Agrocapi,Rumeacet,Ceraarve,Agrocapi,Rumeacet,Rumeacet
19,20,Poaprat,Poaprat,Poaannu,Poaprat,Poaprat,Poaprat,Poaprat,Rumeacet,Rumeacet,Rumeacet
19,30,DEAD,Poaprat,Poaprat,Rumeacet,Poaprat,Rumeacet,Ceraarve,Agrocapi,Poaprat,Poaprat
19,40,Poaprat,Agrocapi,Agrocapi,Rumeacet,Rumeacet,Rumeacet,Agrocapi,Poaprat,Agrocapi,Rumeacet
19,50,Rumeacet,Agrocapi,Rumeacet,DEAD,DEAD,Poaprat,Poaprat,Agrocapi,Ceraarve,Poaprat
19,60,Poaprat,Rumeacet,Poaannu,Poaprat,Rumeacet,Agrocapi,Rumeacet,Rumeacet,Agrocapi,Agrocapi
19,70,Poaprat,Poaprat,DEAD,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Ceraarve,Rumeacet,Rumeacet
19,80,Agrocapi,Poaprat,Poaprat,Agrocapi,Rumeacet,Rumeacet,Poaprat,Poaprat,DEAD,Agrocapi
19,90,Rumeacet,Rumeacet,Poaprat,Agrocapi,LITTER,Rumeacet,Rumeacet,Agrocapi,Agrocapi,DEAD
19,100,Poaprat,Rumeacet,Rumeacet,Agrocapi,Agrocapi,Rumeacet,Rumeacet,Rumeacet,Poaprat,DEAD
,,,,,,,,,,,
20,10,Callvulg,Eriovagi,Callvulg,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Pleuschr,Descflex,Triccesp
20,20,Eriovagi,Eriovagi,Descflex,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Molicaer,Triccesp,Descflex
20,30,Descflex,Descflex,Descflex,Callvulg,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Descflex
20,40,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Eriovagi,Eriovagi,Eriovagi,Molicaer,Molicaer
20,50,Callvulg,Aulopalu,Callvulg,Descflex,Descflex,Eriovagi,Callvulg,Eriovagi,Callvulg,Callvulg
20,60,Callvulg,Callvulg,Callvulg,Callvulg,Descflex,Descflex,Eriovagi,Eriovagi,Eriovagi,Descflex
20,70,Eriovagi,Eriovagi,Eriovagi,Molicaer,Molicaer,Triccesp,Eriovagi,Descflex,Callvulg,Vaccmyrt
20,80,Eriovagi,Eriovagi,Eriovagi,Molicaer,Callvulg,Molicaer,Callvulg,Vaccmyrt,Vaccmyrt,Vaccmyrt
20,90,Callvulg,Callvulg,Molicaer,Eriovagi,Molicaer,DEAD,Callvulg,Eriovagi,Vaccmyrt,Vaccmyrt
20,100,Molicaer,Molicaer,Callvulg,Triccesp,Descflex,Vaccmyrt,Callvulg,Eriovagi,Vaccmyrt,Eriovagi
,,,,,,,,,,,
21,10,Molicaer,Molicaer,Molicaer,Eriovagi,Eriovagi,Eriovagi,Descflex,Molicaer,DEW,Eriovagi
21,20,Eriovagi,Sphafall,Molicaer,Eriovagi,DEW,DEW,Descflex,DEW,DEW,Eriovagi
21,30,DEW,Molicaer,Molicaer,Eriovagi,Eriovagi,DEW,Molicaer,Molicaer,Molicaer,Molicaer
21,40,DEW,DEW,DEW,DEW,Eriovagi,Molicaer,Molicaer,Molicaer,Eriovagi,Eriovagi
21,50,DEW,Molicaer,Eriovagi,Eriovagi,Eriovagi,DEW,DEW,Eriovagi,Molicaer,Callvulg
21,60,Molicaer,DEW,Eriovagi,Molicaer,Molicaer,DEW,DEW,DEW,Eriovagi,Descflex
21,70,Descflex,Eriovagi,Eriovagi,DEW,Molicaer,Callvulg,DEW,Eriovagi,DEW,DEW
21,80,DEW,Descflex,Descflex,Molicaer,DEW,BARE,Carenigr,Molicaer,Molicaer,Descflex
21,90,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,DEW,Eriovagi,Callvulg,Molicaer,Carenigr
21,100,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,Callvulg,Callvulg,Molicaer,Descflex
,,,,,,,,,,,
22,10,Galisaxa,Galisaxa,Festovin,Festovin,Agrocapi,Galisaxa,Festovin,Callvulg,Galisaxa,Rhytsqua
22,20,Galisaxa,Galisaxa,Galisaxa,Festovin,Rhytsqua,Galisaxa,Galisaxa,Festovin,Rumeacet,Carenigr
